NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
200	196.187	53.559	51.646	49.426	0.28	0.801	20000.0
201	200.979	48.063	50.221	42.57	0.22	0.853	20000.0
202	193.676	47.753	50.319	42.805	0.229	0.861	20000.0
203	186.311	49.622	49.009	47.084	0.26	0.818	20000.0
204	193.512	47.308	49.378	42.24	0.21	0.864	20000.0
205	194.197	52.199	52.894	50.656	0.28	0.797	20000.0
206	203.557	49.671	51.625	44.275	0.238	0.846	20000.0
207	186.662	52.229	49.562	50.153	0.284	0.78	20000.0
208	192.173	48.002	47.962	42.088	0.229	0.852	20000.0
209	201.555	48.806	53.399	44.737	0.23	0.843	30000.0
210	186.454	48.72	46.872	44.638	0.252	0.827	20000.0
211	186.215	50.057	48.937	47.452	0.256	0.817	20000.0
212	217.306	57.454	55.404	52.41	0.298	0.754	20000.0
213	188.211	52.213	47.028	46.578	0.274	0.817	20000.0
214	185.512	49.194	47.715	46.384	0.253	0.822	20000.0
215	186.896	46.437	47.396	42.762	0.227	0.853	20000.0
216	180.636	49.794	48.105	46.386	0.257	0.823	20000.0
217	196.174	50.066	50.831	44.938	0.245	0.844	20000.0
218	203.598	48.51	51.998	43.715	0.237	0.845	20000.0
219	185.298	51.214	50.166	48.943	0.266	0.807	20000.0
220	192.22	52.282	50.381	49.132	0.273	0.801	20000.0
221	200.461	50.731	53.402	47.123	0.25	0.827	20000.0
222	195.619	53.354	50.693	49.88	0.29	0.797	20000.0
223	190.104	50.118	50.847	46.046	0.253	0.835	20000.0
224	202.815	49.94	52.779	45.403	0.239	0.84	20000.0
225	192.43	47.696	48.657	43.233	0.233	0.855	20000.0
226	182.237	49.145	48.19	45.809	0.251	0.836	20000.0
227	185.579	48.775	48.307	44.404	0.247	0.844	20000.0
228	186.517	50.39	48.66	48.078	0.252	0.817	20000.0
229	191.572	48.839	50.2	45.281	0.242	0.84	20000.0
230	201.088	48.603	49.749	42.953	0.227	0.851	20000.0
231	194.593	47.075	50.881	42.579	0.21	0.861	30000.0
232	190.994	48.772	49.552	44.173	0.232	0.845	20000.0
