# Using amp_thresh=0.10, del_thresh=0.10
Sample	Low	High
TCGA-2A-AAYO-01A-11D-A41J-01	-0.813000	0.100000
TCGA-EJ-8470-01A-11D-2391-01	-0.527000	0.100000
TCGA-KK-A7AY-01A-11D-A33S-01	-0.100000	0.731000
TCGA-VN-A88O-01A-11D-A34T-01	-0.426000	0.100000
TCGA-J4-A83K-01A-11D-A34T-01	-0.245000	0.100000
TCGA-HC-7745-01A-11D-2112-01	-0.439000	0.587000
TCGA-EJ-A65E-01A-11D-A323-01	-0.707000	0.100000
TCGA-QU-A6IO-01A-11D-A31K-01	-0.403000	0.287000
TCGA-2A-A8VT-01A-11D-A376-01	-1.182000	0.419000
TCGA-VP-A87B-01A-11D-A34T-01	-0.938000	1.144000
TCGA-G9-A9S7-01A-11D-A41J-01	-0.654000	0.336000
TCGA-G9-6361-01A-21D-1959-01	-0.728000	0.100000
TCGA-CH-5752-01A-11D-1574-01	-0.100000	0.100000
TCGA-EJ-5501-01A-01D-1574-01	-0.468000	0.100000
TCGA-4L-AA1F-01A-11D-A41J-01	-0.566000	0.582000
TCGA-V1-A9Z8-01A-11D-A41J-01	-0.555000	0.446000
TCGA-J4-A83M-01A-11D-A34T-01	-0.204000	0.100000
TCGA-V1-A9ZK-01A-11D-A41J-01	-0.425000	0.452000
TCGA-M7-A721-01A-12D-A32A-01	-0.358000	0.206000
TCGA-G9-6329-01A-13D-1959-01	-0.377000	0.370000
TCGA-HC-7079-01A-11D-1959-01	-0.100000	0.100000
TCGA-KC-A7FD-01A-11D-A33S-01	-0.908000	0.100000
TCGA-EJ-5508-01A-02D-1574-01	-0.100000	0.100000
TCGA-V1-A9OY-01A-11D-A41J-01	-0.100000	0.100000
TCGA-EJ-5531-01A-01D-1574-01	-0.344000	0.345000
TCGA-EJ-8474-01A-11D-2391-01	-0.358000	0.100000
TCGA-EJ-A65M-01A-11D-A323-01	-0.100000	0.280000
TCGA-EJ-A7NM-01A-21D-A33S-01	-0.695000	0.100000
TCGA-V1-A8WS-01A-11D-A376-01	-0.506000	0.100000
TCGA-CH-5789-01A-11D-1574-01	-0.100000	0.100000
TCGA-YL-A8SC-01A-11D-A376-01	-0.870000	0.759000
TCGA-EJ-7785-01A-11D-2112-01	-0.100000	0.100000
TCGA-EJ-5522-01A-01D-1574-01	-0.580000	0.100000
TCGA-YL-A8SQ-01B-11D-A376-01	-1.063000	0.837000
TCGA-HC-7819-01A-11D-2112-01	-0.908000	0.100000
TCGA-EJ-5507-01A-01D-1574-01	-0.760000	0.467000
TCGA-KK-A8IM-01A-11D-A363-01	-0.492000	0.100000
TCGA-EJ-5532-01A-01D-1574-01	-0.794000	0.859000
TCGA-G9-6362-01A-11D-1785-01	-0.946000	0.862000
TCGA-KK-A7B4-01A-11D-A32A-01	-0.782000	0.565000
TCGA-YL-A9WK-01A-11D-A376-01	-1.053000	2.045000
TCGA-HC-8212-01B-05D-2297-01	-1.393000	0.100000
TCGA-EJ-5512-01A-01D-1574-01	-0.448000	0.100000
TCGA-YL-A8S9-01A-11D-A376-01	-1.066000	2.437000
TCGA-HC-7736-01A-11D-2112-01	-0.651000	0.100000
TCGA-KK-A59V-01A-11D-A323-01	-0.683000	0.358000
TCGA-G9-6370-01A-11D-1785-01	-0.100000	0.100000
TCGA-HC-8259-01A-11D-2259-01	-0.205000	0.100000
TCGA-J4-AATZ-01A-11D-A41J-01	-0.734000	0.465000
TCGA-KK-A8I7-01A-21D-A363-01	-0.354000	0.452000
TCGA-ZG-A9L5-01A-12D-A41J-01	-0.540000	1.244000
TCGA-HC-7737-01A-11D-2112-01	-0.329000	0.100000
TCGA-2A-A8W3-01A-11D-A376-01	-0.488000	0.515000
TCGA-EJ-A46B-01A-31D-A256-01	-0.100000	0.100000
TCGA-HC-7213-01A-11D-2112-01	-0.844000	0.644000
TCGA-HC-8257-01A-11D-2259-01	-0.339000	0.276000
TCGA-CH-5761-01A-11D-1574-01	-0.733000	1.905000
TCGA-EJ-7318-01B-11D-A32A-01	-0.536000	0.233000
TCGA-KK-A6E7-01A-11D-A31K-01	-0.925000	0.100000
TCGA-M7-A71Y-01A-22D-A32A-01	-0.290000	0.100000
TCGA-G9-6343-01A-21D-1959-01	-0.398000	0.100000
TCGA-J4-A83I-01A-11D-A363-01	-0.935000	0.100000
