Sample Names	MutationTypes	CNV48A	CNV48B
CN_1_1_CKDN200002992-1A_H57L2DSXY_L1	2:LOH:>40Mb	0.0	1.0
CN_1_1_CKDN200002992-1A_H57L2DSXY_L1	3-4:LOH:0-100kb	0.0	1.0
CN_1_1_CKDN200002992-1A_H57L2DSXY_L1	3-4:LOH:100kb-1Mb	0.0	1.0
CN_1_1_CKDN200002992-1A_H57L2DSXY_L1	3-4:LOH:1Mb-10Mb	0.0	1.0
CN_1_1_CKDN200002992-1A_H57L2DSXY_L1	3-4:LOH:10Mb-40Mb	0.0	1.0
CN_1_1_CKDN200002992-1A_H57L2DSXY_L1	3-4:LOH:>40Mb	0.0	1.0
CN_1_1_CKDN200002992-1A_H57L2DSXY_L1	5-8:LOH:0-100kb	0.0	1.0
CN_1_1_CKDN200002992-1A_H57L2DSXY_L1	5-8:LOH:100kb-1Mb	0.0	1.0
CN_1_1_CKDN200002992-1A_H57L2DSXY_L1	5-8:LOH:1Mb-10Mb	0.0	1.0
CN_1_1_CKDN200002992-1A_H57L2DSXY_L1	5-8:LOH:10Mb-40Mb	0.0	1.0
CN_1_1_CKDN200002992-1A_H57L2DSXY_L1	5-8:LOH:>40Mb	0.0	1.0
CN_1_1_CKDN200002992-1A_H57L2DSXY_L1	9+:LOH:0-100kb	0.0	1.0
CN_1_1_CKDN200002992-1A_H57L2DSXY_L1	9+:LOH:100kb-1Mb	0.0	1.0
CN_1_1_CKDN200002992-1A_H57L2DSXY_L1	9+:LOH:1Mb-10Mb	0.0	1.0
CN_1_1_CKDN200002992-1A_H57L2DSXY_L1	9+:LOH:10Mb-40Mb	0.0	1.0
CN_1_1_CKDN200002992-1A_H57L2DSXY_L1	9+:LOH:>40Mb	0.0	1.0
CN_1_1_CKDN200002992-1A_H57L2DSXY_L1	2:het:0-100kb	0.0	1.0
CN_1_1_CKDN200002992-1A_H57L2DSXY_L1	2:het:100kb-1Mb	0.0	1.0
CN_1_1_CKDN200002992-1A_H57L2DSXY_L1	2:het:1Mb-10Mb	0.0	1.0
CN_1_1_CKDN200002992-1A_H57L2DSXY_L1	2:het:10Mb-40Mb	0.0	1.0
CN_1_1_CKDN200002992-1A_H57L2DSXY_L1	2:het:>40Mb	0.0	1.0
CN_1_1_CKDN200002992-1A_H57L2DSXY_L1	3-4:het:0-100kb	0.0	1.0
CN_1_1_CKDN200002992-1A_H57L2DSXY_L1	3-4:het:100kb-1Mb	0.0	1.0
CN_1_1_CKDN200002992-1A_H57L2DSXY_L1	3-4:het:1Mb-10Mb	0.0	1.0
CN_1_1_CKDN200002992-1A_H57L2DSXY_L1	3-4:het:10Mb-40Mb	0.0	1.0
CN_1_1_CKDN200002992-1A_H57L2DSXY_L1	3-4:het:>40Mb	0.0	1.0
CN_1_1_CKDN200002992-1A_H57L2DSXY_L1	5-8:het:0-100kb	0.0	1.0
CN_1_1_CKDN200002992-1A_H57L2DSXY_L1	5-8:het:100kb-1Mb	0.0	1.0
CN_1_1_CKDN200002992-1A_H57L2DSXY_L1	5-8:het:1Mb-10Mb	0.0	1.0
CN_1_1_CKDN200002992-1A_H57L2DSXY_L1	5-8:het:10Mb-40Mb	0.0	1.0
CN_1_1_CKDN200002992-1A_H57L2DSXY_L1	5-8:het:>40Mb	0.0	1.0
CN_1_1_CKDN200002992-1A_H57L2DSXY_L1	9+:het:0-100kb	0.0	1.0
CN_1_1_CKDN200002992-1A_H57L2DSXY_L1	9+:het:100kb-1Mb	0.0	1.0
CN_1_1_CKDN200002992-1A_H57L2DSXY_L1	9+:het:1Mb-10Mb	0.0	1.0
CN_1_1_CKDN200002992-1A_H57L2DSXY_L1	9+:het:10Mb-40Mb	0.0	1.0
CN_1_1_CKDN200002992-1A_H57L2DSXY_L1	9+:het:>40Mb	0.0	1.0
CN_6_1_CKDN200002994-1A_H57L2DSXY_L1	0:homdel:0-100kb	0.0	1.0
CN_6_1_CKDN200002994-1A_H57L2DSXY_L1	0:homdel:100kb-1Mb	0.0	1.0
CN_6_1_CKDN200002994-1A_H57L2DSXY_L1	0:homdel:>1Mb	0.0	1.0
CN_6_1_CKDN200002994-1A_H57L2DSXY_L1	1:LOH:0-100kb	0.0	1.0
CN_6_1_CKDN200002994-1A_H57L2DSXY_L1	1:LOH:100kb-1Mb	0.0	1.0
CN_6_1_CKDN200002994-1A_H57L2DSXY_L1	1:LOH:1Mb-10Mb	0.0	1.0
